cui,name
22976664,ECOLOGICA BĂILE HERCULANE SRL
22987337,COMPANIA DE APĂ SA
23226130,MATSALUBRIS SRL
23389463,OCOLUL SILVIC BUCEGI PIATRA CRAIULUI CIUCAS RA
23503516,COMPANIA DE SALUBRITATE CAMPIA TURZII S.A.
23550461,REGIA PUBLICA LOCALA A PADURILOR STEJARUL RA
23686774,SAL PROIECT SRL
23708724,ELECTROVOL SA
24023214,PARC INDUSTRIAL PRIBOIU SA
24288580,ALPATVAR 2008 SRL
24304481,APACONS SRL
24340468,PRIMTRANS - COM SRL
24353417,CONSTAL TALPA SRL
24423199,PRELCET SA
24440734,LOCAL SERVICII SRL
24499588,HARVIZ SA
24599943,SERVICII PUBLICE MIROSLAVA SRL
24607639,LOCATIVSERV SRL
24642172,DEZVOLTARE URBANA SRL
24734055,AGENŢIA DE DEZVOLTARE LOCALĂ ORADEA S.A.
24840196,BUCURA PREST S.R.L.
24864080,REDISZA SA
24890607,BALNEOCLIMATERICA-GYOGYFURDO SA
24898139,ECO - SAL SA
24979799,CENTRUL NAȚIONAL DE ÎNVĂȚĂMÂNT TURISTIC S.A.
24994977,SERVICIUL PUBLIC DE INTERES COMUNAL TAUTEU SA
25040361,SPITALUL ORĂŞENESC SRL
25137330,EDITURA DISCOBOLUL SRL
25285957,TURCENISAL SRL
25302454,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC PĂDUREA BOGĂŢII RA
25327840,OCOLUL SILVIC COMUNAL TELCIU RA
25336481,OCOLUL SILVIC TIHUŢA-COLIBIŢA RA
25344972,ENERGONUCLEAR SA
25377422,CENTRUL DE RESURSE PENTRU AFACERI VASLUI - CRAV SA
25428615,SALUBRITATEA IBSV SRL
25430666,COMUNAL ECO SRL
25463531,HCB CONSTRUCT INVESTMENT SRL
25472076,OCOLUL SILVIC COMUNAL ROMULI RA
25492677,OCOLUL SILVIC PLAIURILE HENIULUI RA
25493850,QUATRO ECO SALUB SRL
25538820,OCOLUL SILVIC DUMBRAVA RA
25573585,CAV. CONS. LOC SRL
25616767,SALUBRIZARE ŞI SERVICII PUBLICE FOCŞANI S.A.
25624425,URBAN-LOCATO SRL
25648815,PISCICOLA TELEORMAN SRL
25709173,APA-CANAL ILFOV SA
25718864,RAIAR DEVELOPMENT SRL
25725314,REGIA AUTONOMA OCOLUL SILVIC VALEA ŞIEULUI RA
25741662,ECO-CSIK SRL
25742072,OCOLUL SILVIC AL MUNICIPIULUI BISTRITA RA
25742641,"REGIA PUBLICĂ LOCALĂ ""OCOLUL SILVIC ZĂRANDUL"" RA"
25850937,CODRII VLASIEI SRL
25929640,UTILITĂŢI SRL
25950367,IERUL TIREAM SRL
26012599,EOLIANA CARAŞ SRL
26065984,INDUSTRIAL PARK IȘALNIȚA SRL
26128977,SALINA TURDA S.A.
26161230,NOVA APASERV SA
26176052,CENTRALA ELECTRICĂ DE TERMOFICARE HIDROCARBURI (C.E.T. HIDROCARBURI) SA
26284950,REGIA PUBLICĂ LOCALĂ OCOLUL SILVIC PĂDURILE ŞINCII RA
26300230,AGROBERIANUL SRL
26308846,FONDUL ROMÂN DE CONTRAGARANTARE SA
26338049,VODNA-ECOSAL SRL
26371584,POIANA ROŞIA SRL
26416163,CSIKI TRANS SRL
26454388,URBIS SERVCONSTRUCT S.R.L.
26490194,"COMPANIA NATIONALA ""AEROPORTURI BUCURESTI"" SA"
26584132,SALUB INTERSERV SRL
26638950,CONCORDIA UZINA ELECTRICĂ FLOREŞTI SRL
26670500,APACOC-MISLII SRL
26761188,TELEVOL SYSTEMS SA
26786565,AURORA CONSTRUCT MONTAJ SA
26798225,RURAL-SAL SRL
26832874,CARPATMONTANA SERV SA
26892574,MODERN CALOR SA
26962254,BUFTEA ADMIN CONS SRL
26969422,GOSPODĂRIRE COMUNALĂ VALEA COMĂNII SRL
27058888,VILCET ENERGY SRL
27179928,SERVICII DE UTILITATI PUBLICE LEU SRL
27212889,FOTBAL CLUB VOLUNTARI SA
27216635,URBAN TITU SRL
27221372,APĂ CANAL NORD VEST S.A.
27221380,TRANS PREST SERV BORŞ SA
27223071,POROSCHIA COM SRL
27231643,DOMENIU PUBLIC ŞI PRIVAT ONEŞTI SA
27235572,GOSPODĂRIE COMUNALĂ GIARMATA SRL
27237026,APĂ SALUBRITATE CANAL ŞI DECONTAMINARE PRIBOIENI SRL
27241930,AMBIENTAL SERVICE CERMEI SRL
27243753,CITADIN ZALĂU SRL
27249764,PIEŢE SIBIU SA
27249969,SINAIA FOREVER SRL
27251055,ŞOIM CONS SRL
27253188,PUBLISERV VIDELE S.R.L.
27256079,HONLINE MEDIA SRL
27256087,AQUA CĂLIMANI SRL
27256656,UTILITĂŢI COMUNALE OSTRA SRL
27256818,SALGARDENPREST TĂŞNAD SRL
27257384,SERVICII PUBLICE DE MENTENANTĂ MIHAIL KOGĂLNICEANU SRL
27259180,"ADMINISTRAŢIA STRĂZILOR,CONSTRUCŢII EDILITARE SRL"
27259199,SERVICIUL SANITAR VETERINAR SRL
27259202,SERVICII PUBLICE ALEXANDRIA S.R.L.
27261300,UTILITĂŢI PUBLICE LUNCAVIŢA SRL
27264080,PRESTOSERV COSMEŞTI SRL
27266331,GOSPODĂRIE COMUNALĂ EŞELNIŢA SRL
27266340,GOSPODĂRIRE COMUNALĂ DUBOVA SRL
27267116,ECO MONTAN APUSENI SRL
27268839,UTIL LOCAL SRL
27272228,ECOPIAŢA SA
27272953,TETKRON SRL
27273126,ECO VALEA MUNTELUI S.A.
27273142,COMPANIA DE UTILITĂŢI PUBLICE TÎRGU OCNA SA
27274156,GRATIASERV SRL
27275593,AGIGEASERV UTIL SRL
27275976,UZINA DE APĂ SFÂNTU GHEORGHE SRL
27277063,SERVICII PUBLICE IAŞI SA
27277152,SALUBRITATE APUSENI SRL
27278646,APASERV SALUBRIZARE SRL
27279072,DOBRA VODA SRL
27280093,SERVICII EDILITARE PENTRU COMUNITATE MIOVENI SRL
27280123,PIEŢE-SERVICII COMUNITARE MUSCEL SRL
27287849,A.S.P.L. SULINA SRL
27287857,UTIL AQUA MAHMUDIA SRL
27289734,PIEŢE PREST SA
27293115,PRESTĂRI BĂRĂŞTI SRL
27295841,EDILITARA PUBLIC SA
27300824,SALUBRITATE PUBLICĂ URBANĂ CURTEA DE ARGEŞ SRL
27301897,SALUBRIS GILORT SRL
