cui,natcode
3796950,103764
3966370,93771
3796756,93815
3796748,93851
3796810,104083
3796764,93931
3796853,104181
3966290,100638
3966354,92587
4445222,104323
3966338,104341
3796888,94223
3796900,104635
3796845,104751
4294146,94312
3966400,104886
4445214,105222
3796934,105384
4293957,105259
3796870,94562
4133000,94580
3966346,105455
3796691,105605
3796861,94606
3796772,94651
3796837,94731
4445338,105712
3796918,105829
3796829,94768
4305857,54975
4354566,55357
4349179,55008
4349071,55384
4378930,55259
4485642,55446
4722374,55473
4378743,55598
4349039,55623
4485243,55687
4791935,55776
4378751,55838
5562093,55918
4485260,56014
4378760,56096
4565261,56210
4378778,56265
4426158,56327
4288217,56354
4378786,56425
5626626,56461
4426166,56522
5909401,56568
4378794,56666
4378808,57314
4426174,56773
5227935,56844
4923998,56988
4486230,57083
4485359,57163
4924004,57225
5022204,57350
4426182,57449
4546936,55062
4378824,57546
4354507,57582
4288225,57644
4485391,57706
4546944,57742
4485430,57948
4485413,57831
4485421,57902
4546952,58008
4288241,58142
4924020,58204
4617670,55106
4426212,58259
4546960,58311
4546979,58357
5698096,58393
4426220,58464
4485448,58534
4485456,55160
4378832,55277
4288250,58552
4485472,58623
4426239,58721
14866024,60169
5105687,58794
4426247,58856
5507056,58918
5022212,58990
5979229,59041
4426255,59130
5774428,59238
5698118,59283
5612868,59434
5548447,55311
6528995,59498
4546987,59586
4889497,59327
4617689,59416
5303080,59657
4288055,59826
4426263,59693
4378840,59764
4426271,59880
4485502,59942
5562115,60026
4426280,60062
4426298,60099
4785631,60419
4515255,60482
4301456,60847
4304568,60776
4617794,60455
7453165,60801
4859712,62360
4618382,60507
6398763,62397
4301359,60687
4300540,60534
4618153,60598
7097998,60883
4701088,60570
5110918,60945
7453130,61005
4707641,63198
5408818,61069
15226406,63294
4515735,61121
4618439,61167
6483311,61210
7249840,61256
4514608,61283
4515476,61318
4804407,61372
7778337,61452
4707714,61513
12554654,63286
7276918,61559
4618170,61620
16432269,63300
7015203,61675
7635175,61737
6398771,63161
17749029,63334
7249794,61808
8826017,61826
17093977,63326
7453190,63278
6228149,61871
5515059,61951
4859801,62020
4671688,60632
4896001,62057
4671807,63152
4785658,62137
4860016,62253
4515328,62191
4514632,62280
4515840,62440
6228122,62486
4804482,62538
5806791,62609
4617891,62672
4515360,62707
4515239,62761
4514675,62798
4859992,62878
16384773,63318
5874273,62823
4514861,62903
4514853,62949
4514888,62985
7249808,63045
5459919,63072
4514926,63189
4707625,60721
4671718,63125
5806830,63170
4404605,63394
4201813,63740
4404788,63447
4404613,63526
4404370,63580
4201929,63777
16318699,65113
4404710,63633
4202177,63802
4404567,63866
16355433,65121
4404621,63893
4201970,63937
4404400,64041
4404656,64005
4201864,64096
4201783,64130
4404338,64194
4201899,64238
4201937,63553
16355441,65147
4404575,64265
18257105,65154
4201945,64318
4201805,64345
4404583,64390
4404419,64425
4201856,64461
4201759,64504
16260082,65105
16410805,65139
4201740,64568
4404508,64602
4201910,64639
4201953,64719
4404311,64773
4201821,64826
4404460,63688
4404630,64871
4404591,64942
4202207,64906
12126500,65099
4404478,64997
4201848,65048
4404486,65011
4279944,65342
4344597,65841
4280310,65609
4279774,65681
4280302,65921
4816185,68627
4402590,66081
4280108,65379
4280060,66198
4449402,66223
4280191,66330
4280043,66401
4344457,66009
4344279,66152
4449348,101341
4280175,66438
4344490,66474
4344252,101564
4402663,66526
4402736,101840
4449429,66580
4280086,66697
4280140,66731
4280329,66768
4402612,66857
4280299,66955
4402744,67014
4449372,67121
4402639,67167
4280132,102286
4402540,67256
4280124,67292
4344538,65413
4207034,67327
4344627,67407
4344503,67470
4402671,67522
4207026,65707
4344465,67595
4402701,67648
4280272,67675
4402604,67737
4344287,65869
4280353,67773
5359111,67835
4402752,67906
4344244,67942
4344619,68002
4449437,68048
4449356,68128
4280116,68182
4344589,68253
4280337,65645
4280434,104387
4280345,68280
4344520,68324
4402698,68342
17310600,179935
4449410,65752
17352745,179908
4344449,68404
4280280,68431
4280256,68468
4449380,68529
4344260,68565
17352753,179891
17352737,179926
17302844,179917
4344643,65431
4344473,68716
4344236,68789
4532515,68887
4402566,105142
4344570,65477
4280426,105534
4344430,68921
4280450,68976
4344651,65501
4402620,69250
4344554,69063
4280264,69170
4344635,69303
4576708,69447
4344228,69330
4344546,69394
15651082,179711
4344600,69526
4206918,69615
14932420,179640
4417214,69900
5002240,70316
4554424,70352
4941390,70879
5002029,72007
4553372,70414
4554467,70502
5001953,70520
4553674,70566
5001970,70637
5001902,70673
4553577,70726
4554190,70744
5002100,70940
4553895,70897
4553640,70968
4554076,70986
4553747,71055
4554343,71126
5046688,71199
4554050,71260
4553321,69964
5001961,71340
5001910,71607
4554181,71457
4711421,71518
16346370,74859
16397927,74867
4553313,71536
4554319,71572
16414874,74842
5046629,71634
5046742,71698
4553712,71723
4553470,71787
4554114,71812
5001880,71858
4553534,71885
4553593,71910
16397900,74875
4553518,71956
5046696,72034
4553607,72052
4829975,72098
16423570,74883
4554297,72150
5002070,72221
4553569,72276
5046785,72383
16397919,74891
5046718,72409
16388171,74907
16404994,74915
5001945,72463
4554092,72579
4553429,72506
5077595,72533
4554009,72604
5046700,72640
4554203,72677
5046750,72819
16380445,74923
4553283,70094
4553410,72882
4553631,72926
4553704,72953
5001929,72980
5002037,73013
4553585,73031
5002053,73068
4711448,73317
5002126,73102
4554157,73246
4553305,73335
4553267,73371
4553780,73460
5002002,73503
4554254,73567
5002010,73594
4553992,73629
5002088,73665
4332266,73709
16397889,74931
4553399,70110
4711618,73736
4554041,73772
5077617,73852
5002134,73905
5002045,73923
16350797,74949
4553437,73996
5001996,74028
4554165,74073
5002061,74108
4554106,74135
5046734,74171
5001937,74224
4553291,70174
4553461,74242
16397862,74956
5002096,74322
5002118,74359
4553330,74411
4553623,74509
4554084,74536
5046726,74554
4554017,74581
4553526,74732
4553224,74750
4553232,74616
4554033,74705
3814810,75098
4269312,75203
3346883,75338
4393204,75472
4499303,75542
4412217,75613
3126748,75668
4298571,75686
3264589,75515
3346867,75356
3602000,75766
4461970,75711
3878775,75819
3347048,75864
4089095,75917
3437175,76004
4393166,75953
3655943,76040
3126772,76111
3127000,76139
3655919,76157
17841903,77595
3264597,75221
4591309,76175
4802813,76255
3126802,76282
3952219,76317
3126837,76353
3655897,76406
3814712,76497
3126489,76558
4040172,76585
3601986,76601
3701837,76638
3264562,76674
4322254,76718
4412225,76692
3814747,76745
4393123,75258
3126632,76763
16655791,77579
3878767,76807
3126420,76932
3126721,76969
3127018,76996
16371374,77587
4322262,77028
16576043,77561
3126870,77082
3127093,77126
3126381,77153
3553269,75114
3127026,77180
4150000,77224
4412209,77260
4436216,77288
24331834,77601
3655935,77377
3126624,77313
3553307,77331
4393131,77402
3655900,77475
4393212,75150
4412233,77509
3126578,77536
4852455,100521
5483380,101190
5246201,104136
5246171,100781
5182140,101001
5843129,101163
5026680,101378
5123659,101519
5519603,101617
5798613,101662
5026702,101984
5123624,102071
5755124,102106
16407117,179748
5246180,102348
5123675,102446
5123799,102794
5123586,102909
5123578,103087
5026630,103194
5123748,103238
5026621,103309
5182132,103372
5026656,103354
5874885,103407
5123667,103470
16462219,179757
5483372,103639
5026648,103693
16462227,179766
5182159,103899
5718320,103997
5123713,104047
16048420,179739
5123616,104225
5246198,104118
5874850,104485
5798583,104519
5123640,104680
5123594,104715
5026788,104788
5123608,104831
16407109,179775
5123632,104975
5123780,105106
5123764,100549
5123772,105295
5123683,105348
5123705,154709
5483364,105623
5026699,105776
5026664,105972
5026710,105874
5519611,105909
4956065,77812
5455844,78141
4666002,79308
4666126,78258
5057520,82895
4898681,78329
4898657,78454
4956189,82430
4813480,82617
4448202,78472
4666436,78542
4898851,78604
4898894,78668
4718896,78711
4898908,78748
4898797,77910
4956170,79004
4898789,78828
4666444,78873
4956200,78926
4666428,79077
4448415,79157
4813472,79237
4718888,79362
4898827,79406
4448407,79736
4898800,79497
5455879,79585
4448393,79656
4666452,79834
4956219,79932
4898630,80043
4510452,80123
4448377,80249
4510436,78016
4718950,80285
4510371,80365
4898819,80427
4510444,80506
4898860,80560
4898720,80613
4898738,80677
4956146,80711
4813456,80766
4448385,80846
4898754,80908
4898843,80980
4898932,81095
4898835,81184
4718969,81264
4718977,81380
4718985,81415
4898487,81497
4448229,81576
4898916,81754
4351748,81656
4898746,81816
4898878,81987
4448431,81861
4352069,82047
4898762,82136
4898886,82243
5057571,82314
4666401,82680
4448423,82396
4898940,82555
4898924,78089
4666410,82733
4351730,82779
4813464,82831
4245747,83320
4245070,83561
4245178,83632
4367558,83133
4245348,83428
4367612,83464
4245380,83491
4367647,83525
4245224,83749
4367884,83785
4367892,83847
4246092,83936
4367906,83151
4367914,83963
4246122,84102
16367667,86461
4246114,83981
4367922,84086
4612487,84148
4246084,84175
14597953,86446
4246157,84237
4367965,84380
4367930,84264
4367957,84344
4367973,83197
4246173,84415
4367981,84460
4367990,84558
4368006,84594
16363525,86479
4368014,84629
4246211,84656
4246220,84754
4368049,84825
14596052,86438
4246238,84923
4246246,85056
4246254,85074
4368065,85127
4368073,85243
4246262,83375
4368090,85289
16367675,86487
4368103,85341
16373057,86495
4367655,85412
4367663,85467
4246297,85680
4245879,85760
4245887,85788
4245909,85840
16363517,86519
4367868,85528
16373065,86501
4367671,85582
4246270,85626
4367710,85984
4367698,85877
4367701,85920
15865574,86453
4245933,86133
4245941,86188
4367744,86222
4367752,86311
4612495,86339
4367779,86366
4374393,86687
4375267,87175
4374962,87291
2127028,86810
4375046,87059
4634515,87638
4468943,86990
4468994,87219
5742434,87424
5742426,89561
5453878,87576
4375097,87077
4375135,87665
4634647,87139
4374270,88047
4374008,87745
4374024,88092
5453827,87843
8713590,87246
4521427,87996
4521311,88216
4521281,88261
4374130,88350
4521338,88449
4374075,88546
4521443,88644
4374202,88788
4521290,88868
4521400,88920
4521320,89026
4374261,89080
4468382,86749
4779605,89151
4374083,89240
4468331,87362
5453789,89348
4374113,89428
5453835,91731
4373991,86883
4374172,89687
4374040,89801
4374164,89856
4374180,89954
4633340,90066
4779591,90119
4468323,90208
4521362,90262
4468366,90342
4374148,90431
4374059,90538
4521370,90725
4374199,90663
4633285,90878
4521397,90805
5453797,90994
5453819,91116
5453800,91232
4633293,91054
4468358,91330
4727010,86936
4521303,91447
4373983,91535
4633307,91624
4468340,91688
4521419,91937
4521389,91795
4374105,91982
4468390,92097
4468374,92177
4365352,92658
4365077,92701
4364942,100683
4427889,92836
4231962,93067
4428060,102749
4364888,92765
4365123,100754
4428027,92783
4365085,100852
4231636,92872
4365239,100870
4231938,100923
4365140,92907
18893021,180064
4365271,101056
16376312,179784
4428094,92989
4427900,93021
16371404,179793
4231695,100709
4231830,93101
4231903,93156
4427943,93209
17467699,179971
4231954,93236
4365255,102240
4428019,102641
4364896,102703
4365379,93575
4365158,103283
4365115,93600
4427978,93628
4427951,93646
4231857,93717
4427927,93735
18077236,180046
4365107,103862
4365174,103960
16384617,179800
4365093,100736
17541604,179980
4428078,93995
4427897,94045
17551365,179999
4365344,94081
4364810,104270
4231873,94107
16371390,179819
4231849,94161
17453693,180000
4364764,101243
4231660,94269
16371412,179828
4365026,94330
17450697,180019
4365336,94376
4506885,94429
4365204,94456
4365069,105026
4364799,94492
4231865,94535
15552755,179702
4428035,94688
4428000,105794
4365441,94795
4541580,95060
4541360,95391
4541190,95355
4541017,98373
4541068,95471
4540941,95612
4540704,95667
4540038,95747
16410627,100273
4540976,95792
4540690,95088
4541211,95872
4540682,95943
4540968,96058
4540950,96110
4541246,96147
17107304,100362
4540666,96192
4540658,96254
4541238,96334
4540640,96370
16403360,100282
4540631,96423
4541220,96478
4540623,96593
4541289,96637
4540984,96664
4540615,96717
4541203,96815
4540607,96888
4540593,96904
16449937,100308
4540585,96940
4541254,97009
16407184,100317
4540046,97063
4540577,97090
4540569,97189
4540542,97241
4540534,97321
4540526,97394
4541297,97438
16570210,100326
4541300,97465
4540518,95159
4540500,97517
4541050,95499
4540496,97553
4541319,97606
4540488,97679
4540992,97722
4540470,97777
4541327,97811
4540453,97875
4540461,97919
4541335,98051
4540437,98113
4541343,98168
4540429,98202
4541351,98220
4540410,98257
4541009,98300
4540402,98337
4540399,98435
4540380,98505
4540372,98603
4540364,98649
16410406,100335
4540356,98685
4540348,95239
4541025,98738
16511583,100344
4541378,98774
4540313,98916
4540330,99290
4540321,98827
4541270,98998
4541033,99058
4540291,99370
4541386,99101
4541394,99165
4541041,99209
4540283,99441
4541408,99478
4540275,99673
4540267,99780
4540259,99879
4541416,99539
4540240,95293
4540232,99600
4540224,99922
4540674,96003
16384625,100353
4981271,99968
4541424,100086
4540305,100004
4540216,100148
4540208,100219
4434029,100576
4992998,179221
4420848,179285
4364500,179409
4364446,179481
4420759,179515
4505596,179533
4283481,179551
4505588,102543
4420708,100834
4532469,100969
4434010,101145
4420724,101298
4420740,101742
4364527,179249
4434037,101902
4532450,101957
6506628,102035
17512943,179588
4611538,102160
4364470,102213
4420856,102525
